CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
36	679	14	0.8245	-0.000	64	0.30092649564359214	Pre-HV:Post-HV	-1.0	36	679
36	699	14	0.8613	-0.000	65	0.30402793434694375	Pre-HV:Post-HV	1.0	699	36
36	777	14	0.8198	0.000	66	0.3798263624701325	Pre-HV:Post-HV	1.0	777	36
37	255	6	0.9113	0.000	67	0.06271521204302491	Pre-HV:Post-HV	1.0	255	37
37	273	6	0.8886	-0.000	68	0.1549859774347263	Pre-HV:Post-HV	1.0	273	37
37	39	6	0.9099	0.000	69	0.12983294796807002	Pre-HV:Post-HV	-1.0	37	39
37	396	6	0.9154	-0.000	70	0.3599456459635511	Pre-HV:Post-HV	-1.0	37	396
37	551	6	0.9075	0.000	71	0.4613842832127024	Pre-HV:Post-HV	1.0	551	37
37	678	6	0.9118	-0.000	72	0.4592603245140232	Pre-HV:Post-HV	-1.0	37	678
37	706	6	0.9151	-0.000	73	0.256338785577633	Pre-HV:Post-HV	1.0	706	37
37	767	6	0.8676	-0.000	74	0.19896678188137365	Pre-HV:Post-HV	-1.0	37	767
38	402	22	0.9001	-0.000	75	0.40368406650161653	Pre-HV:Post-HV	-1.0	38	402
38	558	22	0.8636	-0.000	76	0.134839253431725	Pre-HV:Post-HV	-1.0	38	558
38	59	22	0.8578	-2.015	77	0.5196028653403468	Pre-HV:Post-HV	-1.0	38	59
38	680	22	0.8708	-0.000	78	0.39000969762259946	Pre-HV:Post-HV	-1.0	38	680
39	255	6	0.9477	0.000	79	0.19254816001109507	Pre-HV:Post-HV	1.0	255	39
39	273	6	0.9036	-0.000	80	0.28481892540279635	Pre-HV:Post-HV	1.0	273	39
39	396	6	0.9316	-0.000	81	0.23011269799548104	Pre-HV:Post-HV	-1.0	39	396
39	44	6	0.882	56.026	82	0.2706405248932859	Pre-HV:Post-HV	-1.0	39	44
39	551	6	0.9241	0.000	83	0.5912172311807724	Pre-HV:Post-HV	1.0	551	39
39	552	6	0.8598	56.026	84	0.13208209173314212	Pre-HV:Post-HV	1.0	552	39
39	553	6	0.8598	56.026	85	0.025134426289623348	Pre-HV:Post-HV	-1.0	39	553
39	678	6	0.9104	-0.000	86	0.32942737654595317	Pre-HV:Post-HV	-1.0	39	678
39	706	6	0.8987	-0.000	87	0.38617173354570306	Pre-HV:Post-HV	1.0	706	39
39	767	6	0.8897	-0.000	88	0.06913383391330363	Pre-HV:Post-HV	-1.0	39	767
42	403	77	0.8156	-0.000	89	0.355571867715581	Pre-HV:Post-HV	-1.0	42	403
42	48	77	0.8013	0.000	90	0.6222363129506481	Pre-HV:Post-HV	-1.0	42	48
42	54	77	0.8405	-0.000	91	0.24673499046426892	Pre-HV:Post-HV	-1.0	42	54
42	561	77	0.8221	-0.000	92	0.1861587035786508	Pre-HV:Post-HV	-1.0	42	561
