mtb_id	pval	padj	comparison
5	0.00104522705078125	0.0691011216905382	pre_vs_post
6	0.00157928466796875	0.0783061981201172	pre_vs_post
18	7.62939453125e-05	0.0226974487304688	pre_vs_post
20	0.00019073486328125	0.0283718109130859	pre_vs_post
77	0.00067138671875	0.0663351649187724	pre_vs_post
116	0.00128936767578125	0.0767173767089844	pre_vs_post
122	0.00014495849609375	0.0283718109130859	pre_vs_post
130	3.814697265625e-05	0.0226974487304688	pre_vs_post
335	0.0008392333984375	0.0663351649187724	pre_vs_post
514	0.0005340576171875	0.0635528564453125	pre_vs_post
633	0.000891901377059125	0.0663351649187724	pre_vs_post
664	0.00157928466796875	0.0783061981201172	pre_vs_post
