mtb_id	pval	padj	comparison
1	0.4171142578125	0.994045273247147	pre_vs_post
2	0.0182342529296875	0.349980015908518	pre_vs_post
3	0.154045104980469	0.86556300410518	pre_vs_post
4	0.303794860839844	0.922234398978097	pre_vs_post
5	0.00104522705078125	0.0691011216905382	pre_vs_post
6	0.00157928466796875	0.0783061981201172	pre_vs_post
7	0.0897674560546875	0.731666251404645	pre_vs_post
8	0.812896878972329	1	pre_vs_post
11	0.812896878972329	1	pre_vs_post
13	0.155028820861427	0.86556300410518	pre_vs_post
14	0.609458923339844	1	pre_vs_post
15	0.609458923339844	1	pre_vs_post
18	7.62939453125e-05	0.0226974487304688	pre_vs_post
19	0.966117858886719	1	pre_vs_post
20	0.00019073486328125	0.0283718109130859	pre_vs_post
22	0.701881408691406	1	pre_vs_post
23	1	1	pre_vs_post
24	0.962243757251052	1	pre_vs_post
25	0.966117858886719	1	pre_vs_post
26	0.766029357910156	1	pre_vs_post
27	0.726286148878805	1	pre_vs_post
28	0.170598771596629	0.86556300410518	pre_vs_post
29	0.812896878972329	1	pre_vs_post
30	0.2645263671875	0.917495022649351	pre_vs_post
31	1	1	pre_vs_post
32	1	1	pre_vs_post
33	0.635941334000006	1	pre_vs_post
34	0.181465148925781	0.86556300410518	pre_vs_post
35	0.966117858886719	1	pre_vs_post
36	0.442298889160156	1	pre_vs_post
37	0.118705749511719	0.811838171947962	pre_vs_post
38	0.932281494140625	1	pre_vs_post
39	0.701881408691406	1	pre_vs_post
40	0.0268478393554688	0.431742281527133	pre_vs_post
41	0.196388244628906	0.86556300410518	pre_vs_post
42	0.898574829101563	1	pre_vs_post
43	0.579841613769531	1	pre_vs_post
44	0.196388244628906	0.86556300410518	pre_vs_post
45	0.733726501464844	1	pre_vs_post
46	0.966117858886719	1	pre_vs_post
47	0.898574829101563	1	pre_vs_post
48	0.733726501464844	1	pre_vs_post
52	0.141517639160156	0.86556300410518	pre_vs_post
53	0.865043640136719	1	pre_vs_post
54	0.924572011837841	1	pre_vs_post
55	0.887068694211825	1	pre_vs_post
56	0.865043640136719	1	pre_vs_post
57	0.276252475989205	0.917495022649351	pre_vs_post
58	0.246208190917969	0.882493214434888	pre_vs_post
59	0.283729553222656	0.917495022649351	pre_vs_post
60	1	1	pre_vs_post
61	0.522613525390625	1	pre_vs_post
62	0.522613525390625	1	pre_vs_post
63	0.276252475989205	0.917495022649351	pre_vs_post
64	0.865043640136719	1	pre_vs_post
65	0.609458923339844	1	pre_vs_post
66	0.246208190917969	0.882493214434888	pre_vs_post
67	0.283729553222656	0.917495022649351	pre_vs_post
68	0.276252475989205	0.917495022649351	pre_vs_post
69	0.966117858886719	1	pre_vs_post
70	0.0987396240234375	0.734375953674317	pre_vs_post
71	0.733726501464844	1	pre_vs_post
72	0.00896453857421875	0.242450020530007	pre_vs_post
74	0.495079040527344	1	pre_vs_post
75	0.392738342285156	0.98957388458438	pre_vs_post
77	0.00067138671875	0.0663351649187724	pre_vs_post
78	0.246208190917969	0.882493214434888	pre_vs_post
79	0.4171142578125	0.994045273247147	pre_vs_post
80	0.324729919433594	0.942508790551162	pre_vs_post
81	0.442298889160156	1	pre_vs_post
83	0.865043640136719	1	pre_vs_post
84	0.2645263671875	0.917495022649351	pre_vs_post
85	0.522613525390625	1	pre_vs_post
86	0.346549987792969	0.950217708464592	pre_vs_post
87	0.932281494140625	1	pre_vs_post
92	0.865043640136719	1	pre_vs_post
93	0.369216918945313	0.968423486254408	pre_vs_post
94	0.167350769042969	0.86556300410518	pre_vs_post
95	0.0538558959960938	0.552487208925445	pre_vs_post
97	1	1	pre_vs_post
98	0.0431671142578125	0.513688659667969	pre_vs_post
100	0.228752136230469	0.878113039078251	pre_vs_post
101	0.898574829101563	1	pre_vs_post
102	0.522613525390625	1	pre_vs_post
103	0.246208190917969	0.882493214434888	pre_vs_post
104	0.495079040527344	1	pre_vs_post
105	0.0665359497070313	0.638530485091671	pre_vs_post
106	0.196388244628906	0.86556300410518	pre_vs_post
107	0.609458923339844	1	pre_vs_post
108	0.324729919433594	0.942508790551162	pre_vs_post
109	0.639694213867188	1	pre_vs_post
110	0.766029357910156	1	pre_vs_post
111	0.108383178710938	0.796148041148245	pre_vs_post
112	0.701881408691406	1	pre_vs_post
113	0.639694213867188	1	pre_vs_post
114	0.0599365234375	0.594370524088542	pre_vs_post
115	0.887068694211825	1	pre_vs_post
116	0.00128936767578125	0.0767173767089844	pre_vs_post
117	0.579841613769531	1	pre_vs_post
118	0.228752136230469	0.878113039078251	pre_vs_post
120	0.865043640136719	1	pre_vs_post
121	0.7987060546875	1	pre_vs_post
122	0.00014495849609375	0.0283718109130859	pre_vs_post
124	0.118705749511719	0.811838171947962	pre_vs_post
125	0.609458923339844	1	pre_vs_post
126	0.196388244628906	0.86556300410518	pre_vs_post
129	0.0665359497070313	0.638530485091671	pre_vs_post
130	3.814697265625e-05	0.0226974487304688	pre_vs_post
132	0.670524597167969	1	pre_vs_post
133	0.609458923339844	1	pre_vs_post
134	0.196388244628906	0.86556300410518	pre_vs_post
135	0.966117858886719	1	pre_vs_post
137	0.579841613769531	1	pre_vs_post
138	0.185143724157873	0.86556300410518	pre_vs_post
140	0.7987060546875	1	pre_vs_post
141	0.865043640136719	1	pre_vs_post
144	0.550872802734375	1	pre_vs_post
147	0.209286554781767	0.870517599171606	pre_vs_post
165	0.276252475989205	0.917495022649351	pre_vs_post
167	0.865043640136719	1	pre_vs_post
170	0.58716968573231	1	pre_vs_post
171	0.639694213867188	1	pre_vs_post
172	0.701881408691406	1	pre_vs_post
173	0.303794860839844	0.922234398978097	pre_vs_post
174	0.932281494140625	1	pre_vs_post
175	0.00871925545288926	0.242450020530007	pre_vs_post
176	0.865043640136719	1	pre_vs_post
177	1	1	pre_vs_post
178	0.297672151508384	0.922234398978097	pre_vs_post
179	0.569996072896326	1	pre_vs_post
180	0.670524597167969	1	pre_vs_post
181	0.766029357910156	1	pre_vs_post
