mtb_id	pval	padj	comparison
1	0.828784942626953	1	pre_vs_post
2	0.631900275866177	0.930759081473717	pre_vs_post
3	0.622562408447266	0.928382538912589	pre_vs_post
4	0.465316772460938	0.878931681315104	pre_vs_post
5	7.62939453125e-06	0.000378290812174479	pre_vs_post
6	1.1444091796875e-05	0.000400543212890625	pre_vs_post
7	0.921714782714844	1	pre_vs_post
8	0.169812945433066	0.68527120724821	pre_vs_post
11	0.698152376218751	0.96604805546548	pre_vs_post
13	0.924572011837841	1	pre_vs_post
14	0.257926940917969	0.765170154621657	pre_vs_post
15	0.465316772460938	0.878931681315104	pre_vs_post
18	7.62939453125e-06	0.000378290812174479	pre_vs_post
19	0.0662879943847656	0.488823508635939	pre_vs_post
20	7.62939453125e-06	0.000378290812174479	pre_vs_post
22	0.407978222352498	0.857705280698579	pre_vs_post
23	0.842429645612509	1	pre_vs_post
24	0.208412803684149	0.714398956298828	pre_vs_post
25	0.594886779785156	0.926590664848607	pre_vs_post
26	0.37359619140625	0.838829184478184	pre_vs_post
27	1	1	pre_vs_post
28	0.650749206542969	0.930759081473717	pre_vs_post
29	0.594886779785156	0.926590664848607	pre_vs_post
30	0.241252899169922	0.739925128897441	pre_vs_post
31	0.921714782714844	1	pre_vs_post
32	0.601249670135047	0.928382538912589	pre_vs_post
33	0.594886779785156	0.926590664848607	pre_vs_post
34	0.293498992919922	0.804755303167528	pre_vs_post
35	0.133621215820312	0.636036987304687	pre_vs_post
36	0.465316772460938	0.878931681315104	pre_vs_post
37	0.225322723388672	0.739925128897441	pre_vs_post
38	0.123188018798828	0.607461826303957	pre_vs_post
39	0.113376617431641	0.607461826303957	pre_vs_post
40	0.012359619140625	0.216293334960938	pre_vs_post
41	0.332065582275391	0.819829964538828	pre_vs_post
42	0.76800537109375	0.974335172283116	pre_vs_post
43	0.489967346191406	0.897017141488882	pre_vs_post
44	0.418041229248047	0.857705280698579	pre_vs_post
45	0.168792724609375	0.68527120724821	pre_vs_post
46	0.181865692138672	0.68527120724821	pre_vs_post
47	0.293498992919922	0.804755303167528	pre_vs_post
48	0.0728340148925781	0.522123359772096	pre_vs_post
52	0.921714782714844	1	pre_vs_post
53	0.727537666179043	0.973755779393232	pre_vs_post
54	0.040130615234375	0.426387786865234	pre_vs_post
55	0.890567779541016	1	pre_vs_post
56	0.210117340087891	0.714398956298828	pre_vs_post
57	0.542057255832271	0.921497334914861	pre_vs_post
58	0.0728340148925781	0.522123359772096	pre_vs_post
59	0.921714782714844	1	pre_vs_post
60	0.828784942626953	1	pre_vs_post
61	0.798252105712891	0.993666158821469	pre_vs_post
62	0.622562408447266	0.928382538912589	pre_vs_post
63	0.225322723388672	0.739925128897441	pre_vs_post
64	0.0229873657226562	0.31085187738592	pre_vs_post
65	0.0289306640625	0.34427490234375	pre_vs_post
66	0.181865692138672	0.68527120724821	pre_vs_post
67	0.984321594238281	1	pre_vs_post
68	0.984321594238281	1	pre_vs_post
69	0.00714492797851562	0.157453042489511	pre_vs_post
70	0.418041229248047	0.857705280698579	pre_vs_post
71	0.144687652587891	0.652190555225719	pre_vs_post
72	7.62939453125e-06	0.000378290812174479	pre_vs_post
74	1	1	pre_vs_post
75	0.37359619140625	0.838829184478184	pre_vs_post
77	7.62939453125e-06	0.000378290812174479	pre_vs_post
78	0.210117340087891	0.714398956298828	pre_vs_post
79	0.679428100585938	0.942330349297512	pre_vs_post
80	0.168792724609375	0.68527120724821	pre_vs_post
81	0.0445594787597656	0.457118790725182	pre_vs_post
83	0.798252105712891	0.993666158821469	pre_vs_post
84	0.395462036132812	0.857705280698579	pre_vs_post
85	1	1	pre_vs_post
86	0.395462036132812	0.857705280698579	pre_vs_post
87	0.123188018798828	0.607461826303957	pre_vs_post
92	0.921714782714844	1	pre_vs_post
93	0.418041229248047	0.857705280698579	pre_vs_post
94	0.236629793401937	0.739925128897441	pre_vs_post
95	0.0798759460449219	0.551317524717703	pre_vs_post
97	0.798252105712891	0.993666158821469	pre_vs_post
98	0.921714782714844	1	pre_vs_post
100	0.257926940917969	0.765170154621657	pre_vs_post
101	0.76800537109375	0.974335172283116	pre_vs_post
102	0.679428100585938	0.942330349297512	pre_vs_post
103	0.123188018798828	0.607461826303957	pre_vs_post
104	0.181865692138672	0.68527120724821	pre_vs_post
105	0.040130615234375	0.426387786865234	pre_vs_post
106	0.465316772460938	0.878931681315104	pre_vs_post
107	0.395462036132812	0.857705280698579	pre_vs_post
108	0.952983856201172	1	pre_vs_post
109	0.984321594238281	1	pre_vs_post
110	0.650749206542969	0.930759081473717	pre_vs_post
111	0.312408447265625	0.818867956489193	pre_vs_post
112	0.352458953857422	0.838829184478184	pre_vs_post
113	0.679428100585938	0.942330349297512	pre_vs_post
