CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
37	255	6	0.9113	0.000	67	0.15580250513383254	Pre-P:Post-P	1.0	255	37
37	273	6	0.8886	-0.000	68	0.2593274312928849	Pre-P:Post-P	1.0	273	37
37	39	6	0.9099	0.000	69	0.2515413132920908	Pre-P:Post-P	1.0	39	37
37	396	6	0.9154	-0.000	70	0.22942830714273282	Pre-P:Post-P	1.0	396	37
37	551	6	0.9075	0.000	71	0.3143606178589981	Pre-P:Post-P	1.0	551	37
37	678	6	0.9118	-0.000	72	0.1337189770599223	Pre-P:Post-P	1.0	678	37
37	706	6	0.9151	-0.000	73	0.27159087740264926	Pre-P:Post-P	1.0	706	37
37	767	6	0.8676	-0.000	74	0.26444324963969484	Pre-P:Post-P	1.0	767	37
38	402	22	0.9001	-0.000	75	0.12772588759663248	Pre-P:Post-P	-1.0	38	402
38	558	22	0.8636	-0.000	76	0.03549205380557153	Pre-P:Post-P	1.0	558	38
38	59	22	0.8578	-2.015	77	0.09744006761248779	Pre-P:Post-P	-1.0	38	59
38	680	22	0.8708	-0.000	78	0.030585936900978147	Pre-P:Post-P	-1.0	38	680
39	255	6	0.9477	0.000	79	0.09573880815825826	Pre-P:Post-P	-1.0	39	255
39	273	6	0.9036	-0.000	80	0.007786118000794021	Pre-P:Post-P	1.0	273	39
39	396	6	0.9316	-0.000	81	0.02211300614935796	Pre-P:Post-P	-1.0	39	396
39	44	6	0.882	56.026	82	0.17577520020598766	Pre-P:Post-P	-1.0	39	44
39	551	6	0.9241	0.000	83	0.06281930456690732	Pre-P:Post-P	1.0	551	39
39	552	6	0.8598	56.026	84	0.17940910720061126	Pre-P:Post-P	-1.0	39	552
39	553	6	0.8598	56.026	85	0.13966251855702486	Pre-P:Post-P	-1.0	39	553
39	678	6	0.9104	-0.000	86	0.11782233623216845	Pre-P:Post-P	-1.0	39	678
39	706	6	0.8987	-0.000	87	0.020049564110558464	Pre-P:Post-P	1.0	706	39
39	767	6	0.8897	-0.000	88	0.012901936347604007	Pre-P:Post-P	1.0	767	39
42	403	77	0.8156	-0.000	89	0.07244948260974712	Pre-P:Post-P	-1.0	42	403
42	48	77	0.8013	0.000	90	0.24790907853646785	Pre-P:Post-P	-1.0	42	48
42	54	77	0.8405	-0.000	91	0.3752433331535235	Pre-P:Post-P	-1.0	42	54
42	561	77	0.8221	-0.000	92	0.15662343899914974	Pre-P:Post-P	-1.0	42	561
42	663	77	0.8442	-0.000	93	0.09611561067991443	Pre-P:Post-P	-1.0	42	663
42	768	77	0.8613	-0.000	94	0.05890396082040039	Pre-P:Post-P	-1.0	42	768
43	595	19	0.8191	28.031	95	0.0380751968138074	Pre-P:Post-P	1.0	595	43
43	64	19	0.8191	28.031	96	0.10911239833771814	Pre-P:Post-P	1.0	64	43
44	192	6	0.8882	0.000	97	0.21261745740510773	Pre-P:Post-P	1.0	192	44
44	255	6	0.8937	-56.026	98	0.08003639204772939	Pre-P:Post-P	1.0	255	44
44	396	6	0.868	-56.026	99	0.15366219405662965	Pre-P:Post-P	1.0	396	44
44	397	6	0.9462	-0.000	100	0.20275845472691315	Pre-P:Post-P	1.0	397	44
44	552	6	0.9267	-0.000	101	0.0036339069946236553	Pre-P:Post-P	-1.0	44	552
44	553	6	0.9267	-0.000	102	0.036112681648962794	Pre-P:Post-P	1.0	553	44
44	709	6	0.8987	-0.000	103	0.2646158466885134	Pre-P:Post-P	1.0	709	44
44	754	6	0.9	0.000	104	0.057722397326018866	Pre-P:Post-P	1.0	754	44
44	761	6	0.9045	-0.000	105	0.0790282332063282	Pre-P:Post-P	1.0	761	44
45	180	63	0.8259	-17.026	106	0.055975068996721326	Pre-P:Post-P	-1.0	45	180
45	358	63	0.8566	0.000	107	0.09913917501499496	Pre-P:Post-P	-1.0	45	358
46	144	1	0.995	2.016	108	0.03313689711277224	Pre-P:Post-P	1.0	144	46
46	615	1	0.984	-21.984	109	0.009218424798415269	Pre-P:Post-P	1.0	615	46
46	617	1	0.9826	30.048	110	0.01821501643734343	Pre-P:Post-P	-1.0	46	617
46	652	1	0.9111	30.048	111	0.0745487869107666	Pre-P:Post-P	-1.0	46	652
46	657	1	0.9172	6.048	112	0.04092041755889671	Pre-P:Post-P	-1.0	46	657
47	189	2	0.9282	0.000	113	0.2299420614503725	Pre-P:Post-P	-1.0	47	189
47	288	2	0.9121	-0.000	114	0.21642781366144753	Pre-P:Post-P	-1.0	47	288
47	344	2	0.9216	0.000	115	0.0445855162200991	Pre-P:Post-P	-1.0	47	344
47	409	2	0.9135	-0.000	116	0.09263392439631783	Pre-P:Post-P	-1.0	47	409
47	411	2	1.0	0.000	117	0.5696492783833428	Pre-P:Post-P	-1.0	47	411
47	71	2	0.9121	0.000	118	0.0723794136598366	Pre-P:Post-P	1.0	71	47
47	764	2	0.9042	-58.041	119	0.14902717365639923	Pre-P:Post-P	-1.0	47	764
47	87	2	0.9147	-58.041	120	0.06570593065132035	Pre-P:Post-P	1.0	87	47
48	403	77	0.9017	-0.000	121	0.17545959592672078	Pre-P:Post-P	1.0	403	48
48	54	77	0.8877	-0.000	122	0.12733425461705558	Pre-P:Post-P	-1.0	48	54
48	561	77	0.8936	-0.000	123	0.09128563953731801	Pre-P:Post-P	1.0	561	48
48	663	77	0.8849	-0.000	124	0.15179346785655343	Pre-P:Post-P	1.0	663	48
48	768	77	0.9369	-0.000	125	0.18900511771606746	Pre-P:Post-P	1.0	768	48
52	558	22	0.8612	-0.000	126	0.02476724685508971	Pre-P:Post-P	1.0	558	52
53	405	2	0.8795	-0.000	127	0.2693997730829151	Pre-P:Post-P	-1.0	53	405
53	557	2	0.8795	0.000	128	0.1951368003503519	Pre-P:Post-P	-1.0	53	557
53	559	2	0.878	-0.000	129	0.019414343281992468	Pre-P:Post-P	-1.0	53	559
54	403	77	0.8771	0.000	130	0.3027938505437764	Pre-P:Post-P	1.0	403	54
54	561	77	0.9264	-0.000	131	0.21861989415437363	Pre-P:Post-P	1.0	561	54
54	663	77	0.9219	-0.000	132	0.27912772247360895	Pre-P:Post-P	1.0	663	54
54	768	77	0.9149	0.000	133	0.3163393723331231	Pre-P:Post-P	1.0	768	54
55	360	4	1.0	-0.000	134	0.5026143504915265	Pre-P:Post-P	1.0	360	55
55	546	4	0.9669	1.003	135	0.41784549370563184	Pre-P:Post-P	1.0	546	55
55	57	4	1.0	-0.000	136	0.11802470311104614	Pre-P:Post-P	1.0	57	55
57	360	4	1.0	-0.000	137	0.38458964738048035	Pre-P:Post-P	1.0	360	57
57	546	4	0.9669	1.003	138	0.2998207905945857	Pre-P:Post-P	1.0	546	57
58	276	27	0.7602	0.000	139	0.04639511809512809	Pre-P:Post-P	-1.0	58	276
58	430	27	0.7925	0.000	140	0.2612689617801267	Pre-P:Post-P	-1.0	58	430
58	566	27	0.7232	-0.000	141	0.061183476454132774	Pre-P:Post-P	-1.0	58	566
58	667	27	0.7654	-0.000	142	0.22424876340300529	Pre-P:Post-P	-1.0	58	667
58	669	27	0.8235	-0.000	143	0.2603034523686998	Pre-P:Post-P	-1.0	58	669
58	68	27	0.8088	0.000	144	0.09076236469957005	Pre-P:Post-P	-1.0	58	68
58	739	27	0.8111	-0.000	145	0.06322274625372624	Pre-P:Post-P	-1.0	58	739
59	265	22	0.8589	0.000	146	0.27517371433575677	Pre-P:Post-P	1.0	265	59
59	407	22	0.8752	-0.000	147	0.03099510540454354	Pre-P:Post-P	1.0	407	59
59	408	22	0.8597	0.000	148	0.2780068778160116	Pre-P:Post-P	1.0	408	59
59	556	22	0.887	2.015	149	1.9360228629171947	Pre-P:Post-P	1.0	556	59
59	558	22	0.9054	2.015	150	0.13293212141805938	Pre-P:Post-P	1.0	558	59
59	664	22	0.8752	-0.000	151	0.13620430606294032	Pre-P:Post-P	1.0	664	59
60	427	19	0.8598	0.000	152	0.008673523047034327	Pre-P:Post-P	1.0	427	60
60	428	19	0.8506	0.000	153	0.00841271181602275	Pre-P:Post-P	1.0	428	60
60	431	19	0.869	-0.000	154	0.2669764840245118	Pre-P:Post-P	1.0	431	60
60	433	19	0.8604	-15.995	155	0.015156524268258812	Pre-P:Post-P	1.0	433	60
60	565	19	0.8495	-0.000	156	0.1606088658232549	Pre-P:Post-P	1.0	565	60
60	595	19	0.8244	-15.995	157	0.13474604824001568	Pre-P:Post-P	1.0	595	60
60	64	19	0.8244	-15.995	158	0.20578324976392642	Pre-P:Post-P	1.0	64	60
60	69	19	0.8663	-0.000	159	0.24852175226376944	Pre-P:Post-P	1.0	69	60
60	702	19	0.8323	-0.000	160	0.0962179846824175	Pre-P:Post-P	-1.0	60	702
60	726	19	0.8495	-0.000	161	0.030830741040774354	Pre-P:Post-P	-1.0	60	726
60	775	19	0.888	-0.000	162	0.12147993986169053	Pre-P:Post-P	-1.0	60	775
62	188	14	0.8577	0.000	163	0.09044780098063186	Pre-P:Post-P	-1.0	62	188
62	254	14	0.8822	0.000	164	0.0039943642940977716	Pre-P:Post-P	1.0	254	62
62	398	14	0.863	0.000	165	0.014542544490374447	Pre-P:Post-P	-1.0	62	398
62	399	14	0.9184	0.000	166	0.05172135741117809	Pre-P:Post-P	-1.0	62	399
62	400	14	0.8797	-0.000	167	0.10090873126286104	Pre-P:Post-P	1.0	400	62
62	401	14	0.929	-0.000	168	0.1539600521897431	Pre-P:Post-P	-1.0	62	401
62	679	14	0.8915	-0.000	169	0.056620474920797595	Pre-P:Post-P	-1.0	62	679
62	699	14	0.9184	0.000	170	0.012115781527106075	Pre-P:Post-P	1.0	699	62
62	777	14	0.9075	0.000	171	0.010449631508257961	Pre-P:Post-P	-1.0	62	777
63	183	56	0.6576	21.006	172	0.007482112846173791	Pre-P:Post-P	1.0	183	63
64	432	19	0.8342	-0.000	173	0.07696902433556709	Pre-P:Post-P	-1.0	64	432
64	433	19	0.8045	-0.000	174	0.1906267254956676	Pre-P:Post-P	-1.0	64	433
64	595	19	1.0	0.000	175	0.07103720152391083	Pre-P:Post-P	-1.0	64	595
64	773	19	0.8385	-0.000	176	0.08845260073202033	Pre-P:Post-P	-1.0	64	773
64	83	19	0.8414	0.000	177	0.25715113813636153	Pre-P:Post-P	-1.0	64	83
66	134	57	0.8564	0.000	178	0.2575586217746854	Pre-P:Post-P	-1.0	66	134
66	251	57	0.9171	0.000	179	0.13619776919815163	Pre-P:Post-P	1.0	251	66
67	101	17	0.8455	-58.042	180	0.03683534805852012	Pre-P:Post-P	1.0	101	67
67	434	17	0.8519	-0.000	181	0.1585668930323002	Pre-P:Post-P	1.0	434	67
67	435	17	0.9222	-0.000	182	0.07679928533727197	Pre-P:Post-P	1.0	435	67
67	436	17	0.8293	-0.000	183	0.1556016875899019	Pre-P:Post-P	-1.0	67	436
67	437	17	0.8993	-0.000	184	0.06401333748925307	Pre-P:Post-P	1.0	437	67
67	448	17	0.8542	-58.042	185	0.08374266026425775	Pre-P:Post-P	1.0	448	67
67	569	17	0.8993	-0.000	186	0.06451605035194165	Pre-P:Post-P	1.0	569	67
67	684	17	0.8265	-58.042	187	0.028793479174752234	Pre-P:Post-P	1.0	684	67
67	70	17	1.0	0.000	188	0.1555949280973456	Pre-P:Post-P	1.0	70	67
67	75	17	0.8836	0.000	189	0.0844429336080842	Pre-P:Post-P	1.0	75	67
68	276	27	0.761	0.000	190	0.04436724660444198	Pre-P:Post-P	1.0	276	68
68	430	27	0.8286	0.000	191	0.17050659708055663	Pre-P:Post-P	-1.0	68	430
68	566	27	0.7685	-0.000	192	0.029578888245437234	Pre-P:Post-P	1.0	566	68
68	667	27	0.838	-0.000	193	0.13348639870343534	Pre-P:Post-P	-1.0	68	667
68	669	27	0.8467	-0.000	194	0.16954108766912976	Pre-P:Post-P	-1.0	68	669
68	739	27	0.8666	-0.000	195	0.0275396184458438	Pre-P:Post-P	1.0	739	68
69	287	19	0.7982	0.000	196	0.23847944600580886	Pre-P:Post-P	-1.0	69	287
69	427	19	0.8565	0.000	197	0.239848229216735	Pre-P:Post-P	-1.0	69	427
69	428	19	0.8379	0.000	198	0.2401090404477466	Pre-P:Post-P	-1.0	69	428
69	431	19	0.8796	-0.000	199	0.01845473176074235	Pre-P:Post-P	1.0	431	69
69	565	19	0.8797	-0.000	200	0.08791288644051445	Pre-P:Post-P	-1.0	69	565
69	702	19	0.8407	-0.000	201	0.3447397369461868	Pre-P:Post-P	-1.0	69	702
69	726	19	0.8797	-0.000	202	0.2793524933045438	Pre-P:Post-P	-1.0	69	726
69	775	19	0.8894	-0.000	203	0.37000169212546	Pre-P:Post-P	-1.0	69	775
70	101	17	0.8455	-58.042	204	0.1187595800388255	Pre-P:Post-P	-1.0	70	101
70	434	17	0.8519	-0.000	205	0.0029719649349545046	Pre-P:Post-P	1.0	434	70
70	435	17	0.9222	-0.000	206	0.07879564276007373	Pre-P:Post-P	-1.0	70	435
70	436	17	0.8293	-0.000	207	0.3111966156872475	Pre-P:Post-P	-1.0	70	436
70	437	17	0.8993	-0.000	208	0.09158159060809253	Pre-P:Post-P	-1.0	70	437
70	448	17	0.8542	-58.042	209	0.07185226783308782	Pre-P:Post-P	-1.0	70	448
70	569	17	0.8993	-0.000	210	0.09107887774540402	Pre-P:Post-P	-1.0	70	569
