row ID	s1_BD6_01_51095.mzXML Peak area	s3_repeat_BB7_01_51502.mzXML Peak area	s48_BD12_01_51107.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s53_repeat_BB10_01_51504.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s61_repeat_BC10_01_51509.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s68_BA11_01_51029.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s73_BD8_01_51099.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s78_rerun_BC12_01_51132.mzXML Peak area	s83_BD3_01_51089.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s8_repeat_BD6_01_51285.mzXML Peak area	s103_rerun_BC8_01_51134.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s91_BA11_01_51168.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s95_repeat_RA3_01_51493.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s13_repeat_BE4_01_51280.mzXML Peak area	s18_BG7_01_51491.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s113_rerun_BA4_01_51154.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s23_repeat_BD5_01_51511.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s28_BE4_01_51115.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s33_repeat_BE7_01_51515.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s38_BE5_01_51117.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s43_BE10_01_51125.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
14	562221.957499994	65451.6884999999	621862.504500001	73469.6319999997	586962.934999998	79781.7735	53752.2359999999	550736.724500007	541588.355499997	72891.8665000004	601724.867499998	562090.581000002	587162.377999998	69063.9865000002	625448.900999993	565386.303500002	566895.8085	61374.7525000007	607931.897999998	518477.859999996	606077.3755	586872.507	512418.344999998	512882.504499996	575432.267499993	611981.056500001	55273.9990000002	520323.418000002	596091.558499997	586108.982000006	63078.3799999995	542864.589999998	586332.797500002	566376.260000002	52487.2889999997	584827.372499998	588635.413000001	601289.636500001	67442.9945000003	76527.7569999997	618533.372499995	536823.558499996	588003.037500004	71634.0079999997	56652.1840000001	531097.307500001	77089.1105000005	621579.233999995	563616.434	555086.981499999	562171.173	589252.517999997	70258.8449999994	472451.493500005	614145.937499997	589727.500000003	612971.641500001	557936.657000004	587383.9885	587344.238999997
15	705417.43	1596036.459	1102548.1665	631274.836	206645.299	1839026.623	749344.036	218388.371	692612.38	894612.818000002	4818537.0735	819719.4455	504185.196500001	1060851.4225	1126337.18	543940.2945	445740.0155	617481.961	672222.62	827651.558999999	471905.218	485053.219	410704.9445	622647.334	640318.133	543678.5595	637897.938	790237.127000001	792287.486	377651.304	5048357.6835	688603.22	460815.296	557601.7425	10165219.54	622002.6625	287145.4155	182829.141	405759.9865	2680897.191	567165.459	764407.2735	903954.347	602671.573	843657.428	546608.406	1251937.5735	377279.8625	631904.639	1090273.175	882636.201	518985.762	1007663.6735	332438.533	624644.3935	993072.753	880518.5695	677345.299999999	873247.3195	720214.815
18	0	18986.0045	377664.927	891670.5525	926.702499999996	229427.165	949315.521499999	568953.5125	738101.408	110755.485	0	11048.1495	779353.436	0	25032.9785	956070.976999999	703965.0565	207.5815	3561.02999999998	30384.1785000001	0	895381.116	181.2075	202795.7135	0	775119.9745	134699.1965	7202.55049999997	361.5545	687525.0025	0	178413.9855	729293.0245	319708.541	398183.152999999	655263.891000001	215.101999999999	692011.48	12877.2695	14209.9735	0	909250.862999999	10144.8225	0	788795.5515	0	84225.5409999998	508586.1695	1747.613	824255.956	10133.283	831828.309	195582.78	0	10535.997	417414.82	828712.687	1128.2145	62902.961	766714.079999999
19	659257.7295	778773.744999995	1818154.71099999	1106349.2795	388042.263499999	746133.177500002	582413.574499998	139972.545	378458.401999998	825256.985999995	4487194.2075	595823.608000001	428045.847500001	715695.925499997	380963.657999997	541811.885	251970.548499999	669241.338000004	367542.603499999	720597.215499998	453583.052	557414.420499998	158671.334	141837.734	1211844.863	1063525.73	283496.681	269408.648000003	918049.061000005	358318.7205	6197400.2995	1091040.6255	537914.553500001	614634.396499997	11424619.282	654765.422500002	743278.746999999	388686.235500002	955750.005500001	1442159.0155	760102.8875	785391.726999996	504634.763999997	714563.065	1054090.047	512554.488000001	1046865.7025	265319.485	618820.625999999	634070.326500001	1466781.88249999	720370.844	616912.5295	923014.415000002	770633.948000005	493908.570000002	1352885.677	1091412.611	1985236.40700001	807438.731499997
20	0	15650.208	196404.0825	591443.108	0	148383.599	541364.344	330082.102499999	407966.226500001	63652.4919999998	0	5050.77199999997	413424.0515	0	12822.241	469821.224500001	442370.9115	0	33923.4904999999	18893.0255	0	442793.4455	181.2075	114778.0575	267.8905	424090.003499999	64278.0200000002	5224.54049999998	0	348051.8115	0	88125.2875	418350.959000001	174498.8755	671981.4865	342245.884499999	0	397539.262000001	7558.97549999998	8067.63049999998	0	520374.073000001	5082.68200000002	0	442729.045499999	0	56604.0370000001	282004.650500001	487.228500000001	542347.3495	3681.19549999999	451681.959499999	117432.6555	0	5416.051	213116.8155	483846.251	376.739999999998	27163.8825	422007.107499999
22	477922.008499997	353337.740000002	254898.584999997	0	125456.877000003	470583.116499999	0	589000.835500006	245625.642500006	150824.753999999	307720.915499994	247760.335499992	498754.833500001	675723.647	243179.909500004	373211.193000005	241128.529500001	0	126727.509999999	494005.384000001	235247.535500002	245906.744999998	223811.796000003	0	118846.514999999	118630.939500003	0	122796.936	245973.431	235705.283500004	412004.745500001	254879.921499994	246746.386	246202.064500003	279850.9945	117935.209499996	251845.740999996	243523.644999997	0	232034.457500001	249334.739499992	247085.742499999	253917.901999996	0	0	243374.036500007	174926.944	242173.246	119357.602999994	251852.475000003	497827.726499998	240528.278000002	473934.753500001	245118.975000004	493401.187000007	494354.0215	371725.619999997	358820.355499998	494987.529999998	501354.04
23	368220.554500002	727781.434000002	252075.078000002	0	0	55465.8000000026	0	0	253903.110000004	116730.133499999	365766.238999999	256368.348500003	377657.458500001	360722.944000002	251487.228500002	753135.308000005	348560.380000006	0	649355.714000006	513995.418999996	244012.191999999	381301.411499998	342938.792999999	0	630051.882500002	363455.425499995	0	380385.655499999	373426.657499999	364498.634499995	56318.1299999998	255644.934999999	375485.880499999	504303.204500003	59246.5720000004	241780.718000002	0	0	0	119972.282999999	503853.037999999	754814.649999995	372999.940000004	0	0	250100.114999998	172061.625000001	366372.7085	367440.804999999	375767.202000002	370930.102000003	243362.589500003	221893.285000002	364210.337000001	626310.152000006	247110.447999999	756507.282000006	598979.635499996	624545.234499999	376138.638000003
24	3292664.82	176462.1915	495040.945000002	0	0	244572.302999997	0	0	502092.205999993	119129.199000002	237866.941999999	992064.863500007	0	237680.957000001	243661.794499997	1850045.8125	0	0	1235878.692	838384.574	359730.482000002	242946.737999993	0	0	490360.176499994	120157.315500001	0	374703.421000004	0	360946.534999999	307352.098999997	367121.067999998	122138.527999995	368550.725499997	245658.970500002	840466.309999996	0	0	0	250622.139000001	366431.827000003	123735.539999999	249791.658499997	0	0	362815.371999999	120452.259999998	0	1293987.764	367307.571499996	4610387.0505	0	176296.846499999	597009.121999996	373212.910999999	368090.341999999	368437.001500003	359237.218499999	371448.134999996	0
25	25617.4590000001	19098.3249999999	44203.7289999996	33705.2799999997	19492.7909999998	31712.4780000001	20481.96	76893.0729999999	17662.276	36305.7964999999	333908.638499999	63049.262999999	25680.2675000001	29557.5804999999	25937.9750000001	25091.6480000003	15296.1135000001	16302.902	178699.270500001	54650.2954999998	21002.1540000001	24114.222	16691.309	16823.0789999999	47424.2489999997	38837.3949999999	154471.282499999	9046.67400000019	40579.1330000002	22555.7969999997	429235.387499998	60230.3160000005	46762.8254999999	39637.797	676973.015499999	33419.2760000002	30385.4820000001	20775.3689999999	9055.96800000003	99993.489000001	30048.0809999998	38416.7974999998	53845.824	21881.2954999997	29485.2349999999	21261.666	47725.2030000006	20081.7165000001	27461.1780000002	47459.9119999995	47931.3799999996	23462.1940000002	17302.774	31370.1100000002	24696.6684999996	14079.4189999998	53359.4840000002	63229.8010000006	62216.5735000001	31930.3389999998
26	926981.946500001	2912746.40399999	3660117.708	5173392.89999999	598414.061499999	1531402.832	1241265.2575	3821928.08000001	3340.36950000007	14717.1235	3396322.355	1515169.792	5130719.869	4782173.44999999	5704936.34249999	640000.679499999	799157.7425	646129.5125	1315479.6375	2197581.315	57399.8910000002	3152497.8985	6022.23350000003	674514.949000001	3546883.92899999	3233477.198	10112.7490000001	3321875.318	1225.73850000002	1445503.9885	44646.5934999996	7411269.3835	1944578.1785	389458.275999999	186927.084999999	39890.0340000003	2776971.7205	1954991.814	49297.7774999999	4442009.765	4177093.71400001	3459102.6885	1371.16600000004	2166398.9465	2368639.4335	2438963.0375	2989714.151	3084726.9155	4881.48300000005	263451.906	2064668.578	1221708.487	3536803.645	1324563.3655	2021304.358	3725116.38899999	1485014.3395	2608454.904	4948357.64199999	2376626.685
27	0	0	228.168499999998	0	0	0	0	0	0	191.412000000001	237.147499999999	0	185.659	418.3115	0	0	0	0	0	1722.908	7581.03099999999	5122.51050000002	83996.94	0	933.999	527.620500000001	358.065	49252.8714999999	0	220748.3485	0	0	188.0825	0	0	0	0	0	0	0	0	0	27588.0175000001	112607.5505	820297.215499999	0	0	0	0	0	190.7685	0	193.461	0	0	0	378.492000000001	0	0	0
28	20064.2160000002	101924.586499999	36920.1760000003	5068.84599999995	24366.0909999996	82196.2654999999	455149.088999998	14903.1340000002	5362.46450000012	306338.788000001	172016.9735	28099.667	30969.3839999999	19744.6864999999	100876.343	1290.28650000001	829544.976000006	11814.7020000001	3182.12449999995	37474.5414999997	110654.364000001	0	612341.067500003	43844.6039999997	40861.2264999997	110389.5435	123306.546499999	2637.27599999998	6845.95999999999	467644.982999995	101633.104500001	129085.932	35378.5005000003	57317.7940000009	17260.4514999997	37397.3064999999	33581.9819999997	20647.5750000002	833473.685999994	3827.37649999998	2245.60599999997	19574.182	4669.08700000008	25635.6795000003	238866.3195	11742.5699999999	405654.666499995	2482.06250000004	32499.1725000002	85488.9159999993	6001.12950000003	12176.5545	97558.1064999994	3149.95950000003	73825.2554999998	27880.0595	1202359.36050001	9845.58849999998	33452.5860000005	2228.652
29	29323.3240000002	59009.9750000001	292740.651000001	23574.2259999998	77288.7935000008	65171.4525000004	0	10256.3499999999	11951.321	861696.266	340365.193999999	105191.319	114995.243	42683.7424999999	54761.0639999994	2433.6620000001	439086.143999994	19289.9960000003	2447.11799999996	14620.8699999997	71705.0914999991	201586.374	886756.608999999	10961.37	37350.7679999994	112084.7225	400312.492	2083.26449999997	2961.27800000004	563943.066500003	47970.6149999996	103784.661	138637.624000001	124896.3645	21408.3305000001	27775.964	16199.5799999999	19107.8624999996	260486.176	1101.9375	3294.96499999997	12481.3905000002	3972.56699999999	14147.2064999999	145769.5685	117953.286	217717.878	2078.81149999998	49981.1459999999	125279.134	3702.35849999995	11725.8319999999	74023.9190000002	5250.0115	248161.9095	99525.0030000003	309760.637999999	2351.17250000001	98311.1420000004	6337.10849999997
30	580470.629499999	154607.4165	588061.600500001	149151.5235	586489.923500002	155071.084000001	154961.676000001	536247.918499999	560354.446500002	161335.106	503682.413499999	577300.442	514926.446000001	161138.5835	580294.744499998	577250.578500002	554771.6135	145766.3335	557016.320000001	563475.007000002	544730.023499999	590209.537	456971.418500001	553684.037	585186.917999998	541601.5205	155449.752	558404.229499999	575534.822500001	517781.6965	161559.7935	533504.0765	508585.799000001	615220.9915	157649.257	585551.541499998	561073.121	536359.659499999	141348.2525	162198.1615	575936.787999999	595652.7215	563219.023500001	146375.6405	131158.2535	536723.923	152039.6515	578020.532500001	584769.984999999	568443.796499997	588017.109	571120.775000001	146551.8275	547092.025	596167.138000001	589532.774499999	603381.244000001	540336.101499999	555154.988500002	571836.404000001
31	335931.176499999	309207.922	415856.754999997	319837.590500001	360388.414999999	359893.794999998	351815.024999999	308266.042	483350.985000002	323313.956499999	970712.422000001	349790.989	866125.724500002	347085.963999999	305527.777999997	374244.0045	318604.768500002	400105.626000002	349441.1215	359209.228499999	349324.141499998	344853.282499998	315096.170499999	370021.387000001	336838.271999997	346237.007999998	346014.412499998	326844.927500001	310050.435999999	340726.681499999	551337.171	356781.969500001	345449.064000001	346461.145	514949.802499998	323875.048000002	345162.907999998	378097.165999998	329200.857999999	331283.263000001	2108182.73700001	377843.559	591578.839000001	317894.039500002	748919.137499993	312474.943999999	313730.155500002	355359.3635	359577.003500001	437975.962000001	332314.808500002	346464.946499998	320452.610000001	310951.460000003	343338.3445	334830.656500001	2854245.64749998	372649.737000002	337587.630999997	305531.9635
32	227153.685	501423.067	490960.3415	0	112833.317	466013.132	0	77276.137	254249.6795	399819.319	1121308.6965	194076.279	204034.779	303173.5105	412579.706	240094.54	263297.382	0	291805.6885	246116.251	215236.4945	271956.179	9029.986	0	173238.781	199616.2535	0	200795.288	308146.85	142076.275	938465.478	173575.0245	167350.964	205432.56	1741629.793	253777.8805	250628.107	57591.1035	6814.1	618654.731	312408.5335	452677.497	211180.073	0	0	129933.4455	303855.774	131588.689	358397.067	4150.389	416749.4695	238975.0915	382362.445	219525.4845	285996.3185	334259.961	378922.9705	420103.81	436281.341	494658.3725
33	44176.1844999998	21380.9705000002	213511.8305	9691.77599999985	39786.1335000003	25132.8115000002	1737410.2485	17291.2209999999	8162.90849999991	132837.209999999	223464.040000001	44756.8829999993	164156.0775	42616.6250000001	145721.994000001	1800.41999999991	411473.222000001	20258.4409999997	5399.57550000003	39032.441	46999.1479999998	42621.0435000003	116591.619000001	104033.0595	19811.9494999999	41164.6694999999	247181.408499999	2083.26449999997	4920.28649999991	85725.968000002	75540.8545000005	77378.9114999995	58188.5635000007	28542.0019999997	12174.7035000001	8430.30899999981	70364.2139999992	39855.7664999994	2586573.53350001	1101.9375	1857.66750000003	6680.27749999998	3972.56699999999	14147.2064999999	57791.0205000004	66160.8665000001	309440.497999995	3767.87949999996	27819.9710000001	488613.1995	4678.35000000004	7075.48199999994	48626.4444999997	6865.82000000003	144382.5325	36725.3689999996	132856.5835	2848.48350000006	68106.005	5120.04199999991
34	337629.458500001	57638.2715000002	366893.636000001	50144.7829999997	334470.297500001	61570.8565	55655.9274999999	336185.140500001	351983.567999998	56194.5720000001	399303.282	347921.358499998	341650.1985	60429.1589999999	360127.133999999	360790.427000002	364398.250000001	62097.5759999999	351529.362000001	356604.2115	380139.8905	370756.286500001	307626.133500001	322315.016999998	361039.334500001	346288.238499999	49063.0055000001	350646.819000002	364266.086	315575.2715	65185.8364999999	314668.6345	346846.465499998	395834.934500001	88382.6944999997	341650.635000001	348040.525999999	354203.199	42748.4390000001	57684.2819999999	345252.397500003	374177.918999998	373453.690500001	54045.7289999998	59043.3085	318833.082499999	59435.5644999999	338303.747	366104.096500002	382538.571500002	391289.829000001	320158.0835	49437.3020000003	320408.239	363151.456	374774.684500001	381984.374	349990.426000001	354866.818	354025.258499999
35	249784.596499999	304445.924499999	465580.857499998	276742.654499999	130856.421	299927.06	247687.894999998	63097.0645000003	129533.85	321326.645500002	1706378.8145	260264.013499999	147585.4085	280780.252000001	147283.114	198921.531	121990.1865	205540.715500002	149349.917499999	303932.2195	208358.9445	270053.510500002	91265.0435000002	113832.806	333547.416	290121.974499999	289511.593	147142.5115	358584.664499999	180020.408499999	2161827.50750001	342060.7835	172391.620000001	245187.206499999	4880799.59350002	223754.7795	237763.8	129963.507999999	260001.592499999	477357.212499999	211017.286499999	216087.113999999	0	261347.801500002	497630.938000001	234548.1455	525781.966500003	121753.637	179327.6125	233619.57	351398.6325	123814.2755	140597.439000001	216970.5135	295497.7535	177110.2525	557795.232499999	302424.709499999	393488.4965	185900.3535
36	356094.269500002	404526.595500002	879706.989999996	611632.784999997	890257.533500001	716482.973000002	610427.018000002	302836.979999996	565290.922500001	434518.795000001	391971.029999997	882897.081000001	406532.5175	0	357093.675999998	207034.378000001	796380.370500001	725028.797000001	883144.790499998	477899.105499999	139439.952999997	183611.341499998	184834.89	485688.621500002	136754.062500001	309901.793499995	417667.681000004	223119.5845	499074.241499999	695522.042499999	498912.752499999	679004.767499999	137661.258999999	622275.118499999	699286.231499998	618944.621999999	529339.052499997	144426.704999998	677032.975500004	753274.569500002	126390.699999999	597550.031999998	218431.492	689750.538499998	686969.837999999	147816.839000001	763168.262500004	552701.891499998	449846.913000001	382693.757500002	665261.187	185883.7185	479116.683499998	216667.669	193182.732999996	145204.111	276213.4705	546444.034499999	152877.511	300813.793
