row ID	s3_repeat_BB7_01_51502.mzXML Peak area	s48_BD12_01_51107.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s53_repeat_BB10_01_51504.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s61_repeat_BC10_01_51509.mzXML Peak area	s68_BA11_01_51029.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s73_BD8_01_51099.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s78_rerun_BC12_01_51132.mzXML Peak area	s83_BD3_01_51089.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s8_repeat_BD6_01_51285.mzXML Peak area	s103_rerun_BC8_01_51134.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s91_BA11_01_51168.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s95_repeat_RA3_01_51493.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s13_repeat_BE4_01_51280.mzXML Peak area	s18_BG7_01_51491.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s113_rerun_BA4_01_51154.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s23_repeat_BD5_01_51511.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s28_BE4_01_51115.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s33_repeat_BE7_01_51515.mzXML Peak area	s38_BE5_01_51117.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s43_BE10_01_51125.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
193	0	351911.368499999	0	733483.243500002	453293.355999998	2602.60649999997	28833.5059999996	916102.955999999	1379228.5585	347025.159	304581.119500002	11594.4150000001	1855.45999999999	5584.66350000006	0	1015748.7945	1041350.0275	15556.0625000001	791612.289500001	15123.219	1154054.472	228818.198	0	656403.085499997	77012.1610000004	15864.0090000001	51626.9550000006	128337.680499999	926.194500000017	0	11617.1964999999	418908.558499998	503265.881500002	238746.128499999	462485.520000001	0	392271.032999999	7797.72899999995	251926.177500003	0
194	75277.5009999999	122560.761999999	160936.331999999	2831.14499999999	0	22304.3449999999	9700.15049999994	16776.9160000001	24732.4564999998	33383.0649999999	74497.6699999994	31845.2814999999	88542.4295000002	0	0	0	0	39303.2815	35010.6465000002	8978.82749999992	39635.3499999997	18571.3099999999	1636103.73950001	12796.64	48120.4865000001	34670.6259999999	0	0	21200.6905000001	0	59885.3450000001	21105.82	235458.8145	60014.3100000004	0	0	0	0	16695.2970000001	1314.9675
197	262955.996500001	245894.121499999	245025.084999999	255563.629499999	125107.3175	63733.1580000008	260053.0535	94817.8320000001	182376.233499999	30798.0764999988	96258.9320000005	125916.645500001	58855.2310000003	218174.363999999	227823.250999999	29016.9825000014	95889.4640000015	193382.105500001	97070.7154999991	186632.763500001	97334.0700000011	121665.077999999	185807.985499997	62571.504000001	94647.9539999989	168616.592	0	32019.5040000002	60032.3790000015	166854.7745	232751.661999999	64622.6340000017	252266.500000001	33404.1959999992	91814.5759999987	0	238191.6625	95051.0785000002	93836.3500000009	97352.7250000011
198	268776.340500001	440668.655499998	850116.5425	281070.152000001	32282.3699999994	33238.3920000001	353469.504500002	30996.8379999984	293805.746999999	32170.8749999996	753475.463999999	428667.019499999	185848.842499999	147838.589500001	62078.4259999991	296162.665499999	577340.173999999	386201.303	32776.2070000006	265932.453	128537.416500001	31850.9280000012	609860.138999996	577898.898000001	482155.977999997	810152.309999999	607389.952500001	32641.5045000002	532920.2955	344824.983000001	139917.494499999	548200.4665	591375.416999999	191337.026500001	31371.5599999997	597457.300500001	698868.488999998	32175.1649999998	357195.22	303228.289500001
200	195806.556	154786.111499998	355771.640000001	373922.882499998	93593.567999999	67578.1480000004	472496.130500001	81486.9205000006	164716.927500001	408420.042499999	380588.1615	180421.295	58033.2519999997	87351.9889999996	113934.458000001	80788.3019999989	63327.1889999988	412202.837000001	208613.200499999	338893.339500001	132370.485	110275.939500001	326618.624500001	132632.311499999	369492.974000001	34610.3979999993	473865.754500001	79925.3814999993	222499.663000002	421523.8055	480739.642999998	58869.635	201041.335000002	93745.9104999989	132054.9205	462675.920999999	175626.589	58605.0070000006	89849.5944999984	139019.444000001
201	253071.320000001	139534.356499999	370807.527999999	443554.424	82996.2495000003	31628.1539999997	36145.7839999993	234228.609	51956.2274999999	54602.8245000008	239697.2955	56498.5164999991	178835.929999999	151684.551999999	55996.62	132595.494000001	117151.490500001	261693.714000001	82698.0429999995	132337.374999999	139335.806	80331.6375000007	450316.883999998	157856.4355	139742.2315	189582.274	429592.8915	185310.3955	113928.5725	204857.557500002	196829.078999999	377135.2165	91181.8709999999	168140.381	77492.0005000001	37122.7020000017	51866.4939999983	290601.496	331475.7555	107370.444
204	80199.7119999997	203386.183500001	75601.8689999983	315348.074000002	149875.895000002	77572.4175000011	558837.0635	59160.5939999989	72794.6280000001	100290.559999999	120264.210999999	75861.5570000006	193660.242999999	197497.336499998	117670.28	95399.2109999992	102892.8535	75827.662999999	47378.5879999996	185422.639	204178.077000002	49150.9600000012	577944.447999998	181493.569	98373.9170000009	73503.7699999995	123107.865000001	48656.865	71299.7129999987	75642.252500001	158517.350500001	196543.347000002	108438.362000001	52116.7849999992	53717.840999999	542051.412999999	74745.6660000004	95583.6864999994	95594.8000000008	54581.7079999992
206	324741.149500001	231924.224000002	532471.807500001	166933.6625	322136.126	131784.9025	63655.5114999998	22779.5999999998	86185.8900000022	157857.295999998	23390.9260000012	23657.1349999994	197337.303500002	23223.3005000008	436019.6425	411108.782499999	333246.719500001	122111.805500001	89288.1580000013	86638.3454999997	47879.6960000009	22351.0319999996	544342.4195	22040.9279999989	154897.9095	285000.5515	544761.530000001	150291.047999999	151209.418000001	338732.6195	288896.897500002	47278.261999999	168538.167	23807.7069999996	22572.0760000002	129180.7105	46590.7059999997	22860.9114999996	355256.1225	43209.8179999997
207	137702.8195	46718.3115	158692.161	84285.3595	111558.201	155935.6375	75378.6219999999	87518.9570000008	174011.658499999	195061.356	45184.8160000002	193162.3425	69187.302000001	89200.1950000004	69997.9259999994	44180.8280000012	46840.6910000006	143629.381000001	66905.1105000001	112301.014000001	44912.0325000003	111064.6415	161038.216499998	84365.8775000003	45030.4874999995	154327.462500001	158404.0225	135952.533	89974.2395000007	120149.1325	162491.703	134139.205500001	92369.8065000006	24110.3924999995	112134.336	86265.7500000007	68577.6214999988	46515.5699999991	22032.3634999996	68209.6374999998
208	262474.711000003	196575.298	253535.9015	269810.622000002	207777.8015	108409.863	171865.400499999	21286.7079999989	126610.8755	108157.991499998	61600.3889999999	62627.3935	22776.3995000008	147554.0465	65677.9700000003	21722.1714999993	107471.278999999	157490.3805	21711.7750000002	200458.954	125482.267499999	289841.888	436608.271999998	20890.6940000001	125703.105999998	234894.218500001	266334.665	146633.803000001	86489.183999999	278063.801499999	58549.5939999996	64854.4140000009	158597.714499999	23425.0660000012	22102.9619999992	85531.9345000005	86654.5574999999	128114.822	106571.609	167646.416500001
