row ID	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
20	216927.9335	0	486817.0455	531111.8635	187862.8425	371915.975999999	475093.894000001	524128.989500002	524640.046500001	371151.256	463358.0235	527153.209	183738.1485	650531.428500001	101750.766	329014.772000001	264326.0775	73400.2724999997	497155.8685	295936.784499999	244513.374499999	365493.4485	451270.673000001	245139.433000001	311229.9825	554490.042500001	243528.397000001	515321.274499999	83572.0494999998	110835.986	341796.675499999	404121.248	389166.08	0	170086.3375	519290.392	422238.259	501952.7285	398191.666500001	306519.566
22	119862.600500002	357967.8565	248810.365499998	357316.490000001	382513.903999999	538649.844999998	117959.720000002	37759.4244999982	603429.239000001	604731.412000004	121991.940000006	237982.926000001	0	240285.585499996	241593.900499997	121350.216	380015.512999998	501603.849999997	362179.823999999	0	370542.096499996	238845.870000005	244071.075999994	119386.697499999	39172.7624999996	119460.720000006	741073.081500001	237723.702500003	119228.903999996	376487.879000005	238938.875000004	802494.597500002	247086.921999999	122382.539999999	1467956.7585	240116.164499999	121018.023500001	118102.947500002	123847.509000005	747853.313999999
23	617456.055500003	116229.107499998	111949.392999999	250210.256500003	634425.705500001	58778.6289999983	372757.9145	0	363059.692500003	0	0	0	0	240126.745999999	0	373327.636000003	373336.5485	0	374638.315000007	245505.907499994	253341.328500005	478283.486500002	366745.089999999	494569.081499998	0	247294.947999994	496388.369999995	0	503858.052	383011.455999999	119930.697999993	859413.699500003	254103.614000006	509799.644500004	226074.177499998	0	372479.4035	122920.267500001	371782.259000006	372681.763
24	236791.883499999	119641.887000002	179217.687499998	120062.943000002	625302.346499997	184731.287500001	362719.163000001	0	120472.975000002	0	0	0	0	892816.544500004	0	1911209.858	0	0	2653955.696	728604.698000001	243510.673000004	584469.797000001	484386.841000001	483468.411499998	122070.460999998	486585.3505	242078.459499998	0	364942.250499999	249129.747499998	236543.627999999	485394.786500001	0	365462.857000001	217746.2955	0	610678.936999998	118172.894999999	367361.049499999	119570.759999999
25	27342.7335000003	130064.01	181081.4875	43247.7649999997	90053.4480000004	14667.8475	17618.5744999998	16446.277	24390.8999999998	19365.7739999999	23875.5760000001	19338.9775000001	140882.839999999	239036.019999998	13848.5819999999	28750.7604999997	135137.715499999	10606.8689999998	49693.0840000004	105827.879000001	37863.8569999998	41343.4680000004	64941.4715000003	49176.3715000006	21126.6534999999	35575.6379999997	37531.6654999997	24744.6920000003	41919.7649999998	26600.6999999997	48417.5319999996	55796.0895	21118.1775000001	30880.3220000002	46712.8769999996	22981.7159999996	61865.7640000002	51098.9310000003	35042.1784999999	36513.3255000001
26	1916302.122	798.123999999995	3602520.64399999	7871055.03800001	4804327.068	2345.74950000004	3879740.0305	3675407.994	9517028.27849999	1798041.3875	1838783.001	2975.34800000003	5271960.4995	661258.416	2382720.2475	1689.82500000002	4439228.2325	969734.999499998	1162766.823	2404074.034	692709.365	2486.83450000007	3448300.4035	4814980.8555	3843542.8075	2302681.036	2114.47849999998	1068.628	870968.376999999	558073.3595	2585674.4685	2467160.0215	1729816.664	2810722.707	116604.3265	1665.42399999998	3049627.295	5189523.43249999	433104.405999998	2352655.871
27	0	0	0	0	0	234.519999999999	0	0	0	0	0	0	0	252.714000000002	4940.181	2303.6035	115916.9975	213.791999999999	560.367000000003	397239.314	251958.332499999	0	200.982000000001	0	0	0	400.958999999999	0	919005.143000001	274522.552	0	0	0	0	0	0	0	0	0	0
28	18255.5924999999	0	0	56539.8795000001	45739.0079999997	203003.914	36905.4124999997	14288.2484999998	60023.0745000006	15383.4090000003	6115.75200000002	155762.345000004	34742.9849999999	14201.1169999998	65559.139	8671.64199999985	51826.8069999995	34857.9279999997	0	3838.63199999991	19929.4205000001	45520.2255000006	527506.340500001	10449.6400000001	19975.9299999997	69938.6725000004	1393.44599999999	412464.052000003	63773.0160000003	1241.10299999997	44784.4315000002	70194.2335000011	3364.12549999997	45874.1655000004	0	0	64202.7705000002	8280.9795	21305.0009999995	37648.7799999995
29	113382.329	0	0	122457.108999999	116472.933999999	75101.5045000004	51698.1485000001	22556.6645000004	52226.8320000005	118497.327999999	3711.41000000007	353605.341500001	30573.9080000005	169058.1215	48961.8554999999	26595.787	114982.142	157183.897	803848.5805	2836.65049999997	108887.306	59949.2010000005	281214.783000001	14161.3085000001	33165.3120000002	114248.466000002	2652.78099999998	328944.534499996	76185.0145000013	1296.368	110147.1615	205128.575999999	8015.42749999997	41024.8199999987	1299452.1145	48469.6230000005	69255.1430000003	11260.6265000001	89709.5305000009	203620.7155
30	576515.716499999	168084.733	158506.3005	545945.255500001	544261.159500001	161351.0205	591452.559	140727.33	526775.849499999	540452.9665	592628.6605	553694.674499999	136553.443499999	551016.876499999	549373.886499998	533917.408000001	562579.789	585969.566000002	555926.314	531338.3155	584757.243	570090.309999999	541766.101499999	577500.105499999	150786.8205	546176.454	577574.605000002	548822.305	528158.443000001	590831.145	551898.989499999	567640.314000002	617767.297999999	574038.903500001	344199.044499998	540705.005000003	600031.983499999	542846.209	577665.676000002	573759.463999999
31	425847.572999999	352733.419000001	352781.101000001	368280.400999999	351554.350000003	326907.7015	317578.897999999	383963.250999999	347850.632999999	300175.181000001	660119.124	334562.8945	795455.719999998	1058659.179	533509.027999999	332728.465500001	359379.961	371660.036500001	581875.263999996	389210.665499998	325688.498	363974.335999999	320470.400000002	360935.871499997	339482.756	366029.799000002	375386.086	346965.245000001	597590.184999997	364739.353000002	737339.942500009	335287.443	346651.863000001	373500.44	309768.943500001	350434.297500001	325631.796499997	649129.975499999	306535.550500004	317304.637
32	357985.6265	539054.257	342089.223	366277.9655	24405.645	274700.806	234702.395	210163.3015	289525.5665	116898.2065	0	143603.7205	2132.438	1745630.939	117822.742	243985.437	9941.928	0	175233.0765	40006.141	220390.56	168098.304	161972.1095	8126.01200000001	28737.535	194080.3345	334015.1365	95397.4710000001	561514.501	217165.8535	233496.0495	5659.92749999999	212251.0885	432076.0505	308143.781	211336.7635	315498.086	291526.407	489956.5735	385104.658
33	31788.3960000003	0	0	91780.1529999991	90567.2070000001	83303.1865000009	79342.753	24459.0019999999	198463.278499999	36163.9269999999	18704.0939999999	157754.744999997	62284.9715000001	100890.46	48961.8554999999	33050.2395000001	55901.3229999997	66751.012500001	525814.065499993	2836.65049999997	115486.151000001	119953.629	142887.028999999	16540.8539999999	38555.4314999994	251223.5505	2049.09800000004	619447.851	98968.2100000002	902.275000000027	67517.9115000003	143200.243000001	8015.42749999997	235172.954	151313.779999999	46807.9370000008	53842.4070000003	4556.01600000006	67699.1599999988	159991.987
34	378879.426999999	59530.7224999999	62517.3870000002	339560.913	342612.503	60432.8215000003	353769.114500002	46178.2749999999	337764.700499998	344108.010500001	345771.432499999	332031.636500001	46628.294	448069.149499999	338234.212500001	333354.717999999	340770.335	344462.279	359826.1265	330217.264000003	363900.7935	372675.132499999	373962.723000001	387982.494	57263.7069999999	322538.13	351249.794999999	347130.438499999	329772.092500001	363687.269	369528.156000001	330845.408	357286.259499999	365452.808	252269.059499999	371354.344000002	363961.866999999	368083.524999999	356114.434000002	368537.658
35	279026.573999999	607128.550499998	641403.264999999	308092.408499999	587257.661	63960.7554999996	147536.0865	111164.0435	176647.1915	138493.924	130692.815	123562.883000001	134026.393999999	1629813.223	220917.263499999	241149.758000001	80962.5094999997	111762.651	307340.259	662389.292999999	309717.159500001	211726.3565	243551.140000001	254855.199000001	183560.261999999	317526.028499999	254008.552499999	165043.540499999	551326.748999996	243821.5835	408541.596	466814.825500001	131965.937500001	188237.9725	338565.826999998	169006.109	440689.378999999	384716.196000001	193785.7815	181184.7495
