componentindex,.y.,group1,group2,p,p.adj,p.format,p.signif,method,p.adj.signif
1,log10_dpeak,0,2+,1.20111747490503e-06,6e-06,1.2e-06,****,Wilcoxon,****
1,log10_dpeak,0,1,0.00070984322393722,0.0028,0.00071,***,Wilcoxon,**
1,log10_dpeak,2+,1,0.00305980323873747,0.0092,0.00306,**,Wilcoxon,**
12,log10_dpeak,0,2+,0.125000544943037,0.2,0.12500,ns,Wilcoxon,ns
12,log10_dpeak,0,1,3.11196359610191e-11,2.5e-10,3.1e-11,****,Wilcoxon,****
12,log10_dpeak,2+,1,2.2017280478924e-14,2e-13,2.2e-14,****,Wilcoxon,****
8,log10_dpeak,0,2+,5.43313000173876e-08,3.8e-07,5.4e-08,****,Wilcoxon,****
8,log10_dpeak,0,1,7.7013478388239e-08,4.6e-07,7.7e-08,****,Wilcoxon,****
8,log10_dpeak,2+,1,0.0983205119189183,0.2,0.09832,ns,Wilcoxon,ns
