CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
37	255	6	0.9113	0.000	67	0.17309125047429982	Pre-P:Post-P	1.0	255	37
37	273	6	0.8886	-0.000	68	0.20500972122883	Pre-P:Post-P	1.0	273	37
37	39	6	0.9099	0.000	69	0.13443080607236121	Pre-P:Post-P	1.0	39	37
37	396	6	0.9154	-0.000	70	0.4947073832083032	Pre-P:Post-P	1.0	396	37
37	551	6	0.9075	0.000	71	2.3090307964541927	Pre-P:Post-P	1.0	551	37
37	678	6	0.9118	-0.000	72	0.19343285835481655	Pre-P:Post-P	1.0	678	37
37	706	6	0.9151	-0.000	73	0.21136957775700074	Pre-P:Post-P	1.0	706	37
37	767	6	0.8676	-0.000	74	0.2942588599009504	Pre-P:Post-P	1.0	767	37
38	402	22	0.9001	-0.000	75	0.1937210138544256	Pre-P:Post-P	-1.0	38	402
38	558	22	0.8636	-0.000	76	0.002939210356037191	Pre-P:Post-P	-1.0	38	558
38	59	22	0.8578	-2.015	77	0.003040516839744392	Pre-P:Post-P	1.0	59	38
38	680	22	0.8708	-0.000	78	0.2200360894828407	Pre-P:Post-P	1.0	680	38
39	255	6	0.9477	0.000	79	0.03866044440193856	Pre-P:Post-P	1.0	255	39
39	273	6	0.9036	-0.000	80	0.07057891515646869	Pre-P:Post-P	1.0	273	39
39	396	6	0.9316	-0.000	81	0.360276577135942	Pre-P:Post-P	1.0	396	39
39	44	6	0.882	56.026	82	0.20663965954767197	Pre-P:Post-P	-1.0	39	44
39	551	6	0.9241	0.000	83	2.1745999903818314	Pre-P:Post-P	1.0	551	39
39	552	6	0.8598	56.026	84	0.12565695584026482	Pre-P:Post-P	-1.0	39	552
39	553	6	0.8598	56.026	85	0.3315528941162451	Pre-P:Post-P	1.0	553	39
39	678	6	0.9104	-0.000	86	0.059002052282455406	Pre-P:Post-P	1.0	678	39
39	706	6	0.8987	-0.000	87	0.07693877168463957	Pre-P:Post-P	1.0	706	39
39	767	6	0.8897	-0.000	88	0.15982805382858922	Pre-P:Post-P	1.0	767	39
42	403	77	0.8156	-0.000	89	0.003897790124182895	Pre-P:Post-P	1.0	403	42
42	48	77	0.8013	0.000	90	0.12865900466042438	Pre-P:Post-P	-1.0	42	48
42	54	77	0.8405	-0.000	91	0.06724052823593565	Pre-P:Post-P	1.0	54	42
42	561	77	0.8221	-0.000	92	0.016917893139901195	Pre-P:Post-P	-1.0	42	561
42	663	77	0.8442	-0.000	93	0.10158196628186167	Pre-P:Post-P	1.0	663	42
42	768	77	0.8613	-0.000	94	0.13711972791029903	Pre-P:Post-P	1.0	768	42
43	595	19	0.8191	28.031	95	0.20342929467717508	Pre-P:Post-P	-1.0	43	595
43	64	19	0.8191	28.031	96	0.011374462756788434	Pre-P:Post-P	1.0	64	43
44	192	6	0.8882	0.000	97	0.34826685617632724	Pre-P:Post-P	1.0	192	44
44	255	6	0.8937	-56.026	98	0.2453001039496105	Pre-P:Post-P	1.0	255	44
44	396	6	0.868	-56.026	99	0.566916236683614	Pre-P:Post-P	1.0	396	44
44	397	6	0.9462	-0.000	100	0.22405593292929984	Pre-P:Post-P	1.0	397	44
44	552	6	0.9267	-0.000	101	0.08098270370740711	Pre-P:Post-P	1.0	552	44
44	553	6	0.9267	-0.000	102	0.538192553663917	Pre-P:Post-P	1.0	553	44
44	709	6	0.8987	-0.000	103	0.3798065674768747	Pre-P:Post-P	1.0	709	44
44	754	6	0.9	0.000	104	0.2043257920575635	Pre-P:Post-P	1.0	754	44
44	761	6	0.9045	-0.000	105	0.12088426297380102	Pre-P:Post-P	1.0	761	44
45	180	63	0.8259	-17.026	106	0.013193055152378926	Pre-P:Post-P	1.0	180	45
45	358	63	0.8566	0.000	107	0.1921023758153243	Pre-P:Post-P	-1.0	45	358
46	144	1	0.995	2.016	108	0.18457300789119743	Pre-P:Post-P	-1.0	46	144
46	615	1	0.984	-21.984	109	0.031193468163151356	Pre-P:Post-P	1.0	615	46
46	617	1	0.9826	30.048	110	0.012353163326165787	Pre-P:Post-P	1.0	617	46
46	652	1	0.9111	30.048	111	0.028772264779452463	Pre-P:Post-P	-1.0	46	652
46	657	1	0.9172	6.048	112	0.03963673354247988	Pre-P:Post-P	1.0	657	46
47	189	2	0.9282	0.000	113	0.31560450486605485	Pre-P:Post-P	-1.0	47	189
47	288	2	0.9121	-0.000	114	0.1610326433731131	Pre-P:Post-P	-1.0	47	288
47	344	2	0.9216	0.000	115	0.3321232976278199	Pre-P:Post-P	-1.0	47	344
47	409	2	0.9135	-0.000	116	0.3208926760799758	Pre-P:Post-P	-1.0	47	409
47	411	2	1.0	0.000	117	0.2279049941313931	Pre-P:Post-P	-1.0	47	411
47	71	2	0.9121	0.000	118	0.4100867893367889	Pre-P:Post-P	1.0	71	47
47	764	2	0.9042	-58.041	119	0.17042222380328875	Pre-P:Post-P	-1.0	47	764
47	87	2	0.9147	-58.041	120	0.1537386214200431	Pre-P:Post-P	-1.0	47	87
48	403	77	0.9017	-0.000	121	0.1325567947846073	Pre-P:Post-P	1.0	403	48
48	54	77	0.8877	-0.000	122	0.19589953289636008	Pre-P:Post-P	1.0	54	48
48	561	77	0.8936	-0.000	123	0.11174111152052316	Pre-P:Post-P	1.0	561	48
48	663	77	0.8849	-0.000	124	0.23024097094228607	Pre-P:Post-P	1.0	663	48
48	768	77	0.9369	-0.000	125	0.2657787325707234	Pre-P:Post-P	1.0	768	48
52	558	22	0.8612	-0.000	126	0.1605573675954005	Pre-P:Post-P	1.0	558	52
53	405	2	0.8795	-0.000	127	0.3453961783388707	Pre-P:Post-P	-1.0	53	405
53	557	2	0.8795	0.000	128	0.16923462662875652	Pre-P:Post-P	-1.0	53	557
53	559	2	0.878	-0.000	129	0.11607526691916709	Pre-P:Post-P	-1.0	53	559
54	403	77	0.8771	0.000	130	0.06334273811175277	Pre-P:Post-P	-1.0	54	403
54	561	77	0.9264	-0.000	131	0.08415842137583696	Pre-P:Post-P	-1.0	54	561
